"corpus","user/isabelle.gribomont/react2"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"moneda",920,775512,30.58385,39.58089,0.936
"confeccionar",107,209524,3.55703,10.69377,0.936
"oler",166,251022,5.51839,12.81176,0.935
"papá",366,390331,12.16705,19.92187,0.935
"recaudación",134,228894,4.45460,11.68238,0.935
"recolección",113,214315,3.75649,10.93830,0.935
"obvio",413,423269,13.72949,21.60297,0.935
"emperador",207,280219,6.88137,14.30193,0.935
"instrucción",1018,845142,33.84169,43.13470,0.935
"explícito",105,209215,3.49055,10.67800,0.935
"diferenciar",837,719250,27.82465,36.70937,0.935
"mono",197,273586,6.54893,13.96339,0.935
"vigor",320,359415,10.63786,18.34397,0.935
"restauración",369,393837,12.26678,20.10081,0.935
"nuevo",35656,24983851,1185.32349,1275.13599,0.935
"absorber",315,356520,10.47164,18.19621,0.935
"química",126,225146,4.18866,11.49109,0.935
"dedicación",185,266351,6.15001,13.59413,0.934
"criar",179,262218,5.95055,13.38319,0.934
"salarial",353,383832,11.73489,19.59017,0.934
"campos",107,212339,3.55703,10.83744,0.934
"neto",274,328795,9.10867,16.78117,0.934
"acorde",456,455800,15.15895,23.26330,0.934
"evidencia",879,750738,29.22087,38.31647,0.934
"hospitalario",201,278145,6.68191,14.19608,0.934
"vaticano",127,226687,4.22190,11.56974,0.934
"for",443,447058,14.72679,22.81713,0.934
"inyección",122,223290,4.05568,11.39637,0.934
"siria",145,239372,4.82028,12.21716,0.934
"tormenta",292,341938,9.70705,17.45197,0.934
"especialización",153,245188,5.08623,12.51400,0.934
"imprimir",739,654428,24.56681,33.40096,0.934
"rapidez",204,281534,6.78164,14.36905,0.934
"apreciar",1294,1042117,43.01684,53.18799,0.934
"fiebre",161,251788,5.35217,12.85086,0.934
"pozo",352,385419,11.70164,19.67117,0.933
"pino",179,264704,5.95055,13.51007,0.933
"drama",256,318547,8.51029,16.25813,0.933
"posesión",465,464632,15.45814,23.71408,0.933
"aproximar",488,480695,16.22274,24.53391,0.933
"hugo",495,485765,16.45544,24.79267,0.933
"lavado",205,283385,6.81488,14.46352,0.933
"cereal",120,224125,3.98920,11.43898,0.933
"numeroso",1932,1489371,64.22607,76.01512,0.933
"richard",143,240600,4.75379,12.27984,0.933
"testigo",919,782434,30.55060,39.93418,0.933
"ong",164,255390,5.45190,13.03470,0.933
"emilio",231,302179,7.67920,15.42273,0.933
"israelí",265,325945,8.80948,16.63571,0.933
"efectividad",225,298163,7.47974,15.21776,0.933
"valle",1392,1113004,46.27469,56.80595,0.933
"criticar",1156,948456,38.42927,48.40768,0.933
"huella",437,446507,14.52733,22.78901,0.933
"atmósfera",273,331999,9.07542,16.94470,0.933
"solucionar",949,804309,31.54790,41.05065,0.933
"parlamento",766,676831,25.46438,34.54437,0.933
"homicidio",214,291354,7.11407,14.87024,0.932
"remontar",282,339097,9.37461,17.30697,0.932
"providencia",120,226423,3.98920,11.55627,0.932
"recrear",108,218580,3.59028,11.15597,0.932
"blando",127,231912,4.22190,11.83642,0.932
"ascender",686,622656,22.80491,31.77937,0.932
"cátedra",139,240426,4.62082,12.27096,0.932
"bautizar",121,227975,4.02244,11.63548,0.932
"republicano",458,463582,15.22544,23.66049,0.932
"apagar",417,434932,13.86246,22.19823,0.932
"voluntario",957,812489,31.81385,41.46814,0.932
"escritorio",239,311021,7.94515,15.87402,0.932
"fuera",3114,2321790,103.51966,118.50046,0.931
"mediodía",152,250701,5.05298,12.79538,0.931
"conllevar",484,483255,16.08976,24.66456,0.931
"múltiple",1477,1178653,49.10037,60.15657,0.931
"eva",152,252027,5.05298,12.86306,0.931
"aproximación",154,253462,5.11947,12.93630,0.931
"aun",9638,6893141,320.39902,351.81491,0.930
"oficialmente",286,346714,9.50759,17.69573,0.930
"suyo",1472,1177148,48.93415,60.07976,0.930
"extenso",552,533115,18.35031,27.20934,0.930
"puntualizar",128,236395,4.25514,12.06522,0.930
"juvenil",729,657297,24.23437,33.54739,0.930
"oportuno",512,505524,17.02057,25.80114,0.930
"bienvenido",232,309478,7.71245,15.79526,0.930
"catalogar",156,256298,5.18596,13.08104,0.930
"alrededor",3134,2341768,104.18454,119.52010,0.930
"empleo",3160,2360596,105.04886,120.48105,0.930
"lavar",480,483694,15.95679,24.68697,0.930
"hábito",609,574530,20.24518,29.32309,0.930
"pronto",2195,1685608,72.96907,86.03074,0.930
"habitar",596,565475,19.81301,28.86094,0.930
"respectar",123,234398,4.08893,11.96330,0.930
"recalcar",160,260448,5.31893,13.29285,0.930
"bus",219,301850,7.28028,15.40594,0.930
"equivalente",582,556202,19.34761,28.38766,0.930
"joder",309,365181,10.27218,18.63826,0.929
"feo",152,255421,5.05298,13.03628,0.929
"operación",3607,2677157,119.90862,136.63782,0.929
"imitar",132,241830,4.38812,12.34262,0.929
"susceptible",129,239852,4.28839,12.24166,0.929
"it",112,227936,3.72325,11.63349,0.929
"también",38843,27379671,1291.26990,1397.41479,0.929
"beneficiario",427,448831,14.19489,22.90762,0.929
"secretaria",100,219702,3.32433,11.21324,0.929
"rezar",197,287878,6.54893,14.69283,0.929
"inclusive",212,298404,7.04758,15.23006,0.929
"exactamente",751,676312,24.96573,34.51788,0.929
"herida",508,505947,16.88760,25.82273,0.929
"inconveniente",332,382882,11.03678,19.54169,0.929
"bretaña",100,220334,3.32433,11.24550,0.929
"inserción",118,233112,3.92271,11.89766,0.929
"cuadra",126,238764,4.18866,12.18613,0.929
"diferir",125,238096,4.15541,12.15204,0.929
"adentrar",125,238318,4.15541,12.16337,0.929
"calmar",118,233432,3.92271,11.91400,0.929
"q",296,358423,9.84002,18.29334,0.929
"asiático",296,358449,9.84002,18.29466,0.929
"capacitar",414,441312,13.76273,22.52386,0.928
"disparo",335,385963,11.13651,19.69894,0.928
"adecuadamente",200,291281,6.64866,14.86652,0.928
"intención",1792,1408139,59.57201,71.86917,0.928
"instancia",1654,1311491,54.98444,66.93641,0.928
"planear",555,540667,18.45004,27.59478,0.928
"despedir",657,612284,21.84085,31.25000,0.928
"ausencia",1046,885226,34.77250,45.18052,0.928
"brillante",639,600310,21.24248,30.63887,0.928
"rollo",142,251580,4.72055,12.84024,0.928
"congelar",196,289573,6.51569,14.77934,0.928
"profundidad",735,667885,24.43383,34.08778,0.928
"beca",487,494016,16.18949,25.21379,0.928
"enterar",755,682271,25.09870,34.82202,0.928
"sánchez",1372,1115499,45.60982,56.93329,0.928
"obviamente",533,526754,17.71869,26.88468,0.928
"reportaje",158,263488,5.25244,13.44801,0.928
"causal",132,245343,4.38812,12.52191,0.928
"gerardo",113,232033,3.75649,11.84259,0.928
"efectivo",2412,1846388,80.18286,94.23670,0.928
"amistad",726,662601,24.13464,33.81810,0.928
"banca",435,458703,14.46084,23.41147,0.927
"miranda",108,229088,3.59028,11.69229,0.927
"fallecimiento",118,236195,3.92271,12.05502,0.927
"falla",254,331929,8.44380,16.94113,0.927
"restricción",436,459953,14.49408,23.47527,0.927
"varón",302,365879,10.03948,18.67388,0.927
"sucesión",128,244025,4.25514,12.45465,0.927
"simbólico",254,332597,8.44380,16.97522,0.927
"oreja",194,290721,6.44920,14.83794,0.927
"sirio",197,293034,6.54893,14.95599,0.927
"freno",215,305924,7.14731,15.61387,0.927
"satélite",204,298509,6.78164,15.23542,0.927
"insertar",222,311343,7.38001,15.89045,0.927
"unico",109,232183,3.62352,11.85025,0.926
"inspector",100,225918,3.32433,11.53049,0.926
"compañía",4757,3500214,158.13843,178.64534,0.926
"beneficioso",111,233710,3.69001,11.92819,0.926
"excepcional",425,454649,14.12841,23.20456,0.926
"broma",180,282382,5.98380,14.41233,0.926
"flexibilidad",216,307708,7.18055,15.70493,0.926
"serrano",132,249114,4.38812,12.71438,0.926
"parcialmente",161,270156,5.35217,13.78833,0.926
"expedición",247,330729,8.21110,16.87988,0.926
"foco",338,395080,11.23624,20.16425,0.926
"ramo",116,238947,3.85622,12.19547,0.926
"confiar",1097,929291,36.46791,47.42953,0.926
"relieve",116,239028,3.85622,12.19961,0.926
"juicio",2459,1888324,81.74530,96.37704,0.925
"william",153,265442,5.08623,13.54774,0.925
"caloría",103,230486,3.42406,11.76364,0.925
"averiguar",164,273508,5.45190,13.95941,0.925
"matriz",213,308035,7.08083,15.72161,0.925
"planeta",1367,1120381,45.44361,57.18246,0.925
"historial",122,244148,4.05568,12.46092,0.925
"perteneciente",642,610249,21.34221,31.14614,0.925
"hembra",127,247740,4.22190,12.64425,0.925
"agrupación",554,548401,18.41679,27.98951,0.925
"plano",1854,1463619,61.63310,74.70078,0.925
"uña",101,229639,3.35757,11.72041,0.925
"inédito",122,244634,4.05568,12.48573,0.925
"tropical",186,289706,6.18326,14.78613,0.925
"sobretodo",125,247229,4.15541,12.61817,0.925
"eje",989,855718,32.87763,43.67448,0.925
"verbal",142,259356,4.72055,13.23712,0.925
"mito",377,425147,12.53273,21.69882,0.925
"imprescindible",735,677553,24.43383,34.58122,0.925
"comercialización",370,420472,12.30002,21.46022,0.925
"indemnización",335,396120,11.13651,20.21733,0.924
"triple",272,351905,9.04218,17.96067,0.924
"casco",426,460433,14.16165,23.49977,0.924
"documentar",269,349819,8.94245,17.85420,0.924
"idóneo",138,257523,4.58758,13.14356,0.924
"felicidad",737,680046,24.50032,34.70846,0.924
"preliminar",112,239586,3.72325,12.22809,0.924
"filósofo",152,268045,5.05298,13.68059,0.924
"george",215,312584,7.14731,15.95379,0.924
"justamente",297,370692,9.87326,18.91953,0.924
"excusa",265,348259,8.80948,17.77458,0.924
"sujeto",2125,1659756,70.64203,84.71130,0.924
"invisible",101,233170,3.35757,11.90062,0.924
"expandir",277,357560,9.20840,18.24929,0.924
"patente",325,391726,10.80408,19.99307,0.923
"mediar",742,686006,24.66654,35.01265,0.923
"debidamente",202,305210,6.71515,15.57743,0.923
"plantar",250,339159,8.31083,17.31013,0.923
"implicación",212,312371,7.04758,15.94292,0.923
"configurar",714,667131,23.73572,34.04930,0.923
"maravilla",254,342547,8.44380,17.48305,0.923
"postura",765,703337,25.43113,35.89720,0.923
"arroyo",211,312838,7.01434,15.96675,0.923
"redondo",302,377106,10.03948,19.24689,0.923
"aspirante",246,337594,8.17785,17.23026,0.923
"volar",655,626713,21.77437,31.98643,0.923
"sospechar",159,276620,5.28569,14.11824,0.923
"extrañar",271,355943,9.00894,18.16676,0.923
"enmienda",211,313722,7.01434,16.01187,0.922
"punta",996,868069,33.11034,44.30486,0.922
"cola",516,529481,17.15355,27.02387,0.922
"zamora",126,254170,4.18866,12.97243,0.922
"vulnerar",170,285774,5.65136,14.58545,0.922
"intenso",1115,953489,37.06629,48.66456,0.922
"geográfico",565,564957,18.78247,28.83451,0.922
"doblar",149,271369,4.95325,13.85024,0.922
"inspiración",218,320207,7.24704,16.34285,0.922
"estatuto",479,504983,15.92355,25.77353,0.922
"túnel",123,253668,4.08893,12.94681,0.922
"relaciones",276,361894,9.17515,18.47049,0.922
"arena",781,719100,25.96303,36.70172,0.921
"regreso",585,580589,19.44734,29.63234,0.921
"regional",2742,2105816,91.15316,107.47749,0.921
"filtrar",138,265027,4.58758,13.52656,0.921
"potenciar",512,529514,17.02057,27.02555,0.921
"espalda",841,762245,27.95762,38.90377,0.921
"muro",647,625169,21.50842,31.90763,0.921
"sumar",3288,2492765,109.30401,127.22675,0.921
"conferir",122,254056,4.05568,12.96661,0.921
"sentir",6508,4770126,216.34747,243.45961,0.921
"solitario",240,337800,7.97839,17.24077,0.921
"suizo",151,274862,5.01974,14.02852,0.921
"bienvenida",222,325254,7.38001,16.60044,0.921
"prisa",114,248878,3.78974,12.70234,0.921
"menos",14617,10507310,485.91748,536.27637,0.921
"basura",482,509520,16.02328,26.00509,0.921
"técnico",5770,4250530,191.81390,216.94026,0.921
"variante",340,409237,11.30273,20.88680,0.921
"impactar",254,348694,8.44380,17.79679,0.921
"posicionamiento",178,294952,5.91731,15.05388,0.921
"nómina",103,242030,3.42406,12.35283,0.921
"iluminar",340,409932,11.30273,20.92228,0.920
"meter",2327,1816134,77.35719,92.69258,0.920
"agente",2159,1697371,71.77231,86.63110,0.920
"controversia",132,263126,4.38812,13.42953,0.920
"mercantil",290,375545,9.64056,19.16722,0.920
"noticias",109,247503,3.62352,12.63216,0.920
"protocolo",635,619920,21.10950,31.63973,0.920
"gramo",143,271719,4.75379,13.86810,0.920
"correa",233,335545,7.74569,17.12568,0.920
"turquía",116,252801,3.85622,12.90256,0.920
"finanzas",386,444117,12.83192,22.66702,0.920
"vulnerable",250,347916,8.31083,17.75708,0.920
"redactar",241,341588,8.01164,17.43410,0.920
"psicológico",625,613946,20.77707,31.33483,0.920
"ente",390,447739,12.96489,22.85188,0.920
"marta",236,338770,7.84542,17.29028,0.919
"radicar",433,478533,14.39435,24.42356,0.919
"lentamente",136,268135,4.52109,13.68518,0.919
"apariencia",376,438341,12.49949,22.37222,0.919
"bendecir",111,250924,3.69001,12.80676,0.919
"antena",131,265103,4.35487,13.53043,0.919
"totalidad",666,644282,22.14005,32.88313,0.919
"pantalón",187,304921,6.21650,15.56268,0.919
"ingreso",2993,2294883,99.49722,117.12717,0.919
"implantación",199,314345,6.61542,16.04367,0.919
"compensar",280,372037,9.30813,18.98817,0.919
"proveniente",416,468492,13.82922,23.91108,0.919
"inauguración",211,323211,7.01434,16.49617,0.919
"alcaldía",222,331070,7.38001,16.89729,0.919
"extensión",1015,893512,33.74196,45.60343,0.919
"operar",1654,1347038,54.98444,68.75067,0.918
"lic",100,245134,3.32433,12.51125,0.918
"pasear",304,390096,10.10597,19.90988,0.918
"habla",131,267614,4.35487,13.65859,0.918
"rivera",310,394783,10.30543,20.14909,0.918
"recortar",149,280598,4.95325,14.32127,0.918
"discreto",120,260229,3.98920,13.28167,0.918
"terrestre",236,342610,7.84542,17.48627,0.918
"jaime",345,420010,11.46894,21.43664,0.918
"exigente",151,282482,5.01974,14.41743,0.918
"siglo",5159,3836954,171.50224,195.83202,0.918
"adjudicar",219,331263,7.28028,16.90714,0.918
"lamentablemente",250,353426,8.31083,18.03830,0.918
"gustavo",411,467839,13.66300,23.87776,0.918
"aceptación",316,400456,10.50489,20.43863,0.918
"informativo",545,563312,18.11760,28.75055,0.917
"imaginación",280,375432,9.30813,19.16145,0.917
"parto",238,345661,7.91191,17.64199,0.917
"secar",113,256905,3.75649,13.11202,0.917
"cercanía",207,323721,6.88137,16.52220,0.917
"gil",101,248632,3.35757,12.68978,0.917
"sentido",6253,4617860,207.87042,235.68820,0.917
"diciembre",3936,2972494,130.84567,151.71135,0.917
"polémica",263,364040,8.74299,18.58002,0.917
"quinto",957,857018,31.81385,43.74083,0.917
"mítico",115,259359,3.82298,13.23727,0.917
"bachillerato",105,252292,3.49055,12.87658,0.917
"afiliado",128,268654,4.25514,13.71167,0.917
"estadística",588,596008,19.54707,30.41930,0.917
"distinguir",919,831498,30.55060,42.43833,0.917
"micro",124,266662,4.12217,13.61000,0.916
"tampoco",3590,2730020,119.34349,139.33586,0.916
"fundador",621,619991,20.64410,31.64335,0.916
"autoridad",4612,3456611,153.31815,176.41992,0.916
"sensibilidad",372,443383,12.36651,22.62956,0.916
"almacén",217,333539,7.21380,17.02330,0.916
"escapar",935,844005,31.08249,43.07667,0.916
"harina",118,263189,3.92271,13.43275,0.916
"hueco",272,372731,9.04218,19.02359,0.916
"contento",548,569237,18.21733,29.05295,0.916
"preventivo",514,545116,17.08706,27.82185,0.916
"beneficio",3360,2570095,111.69753,131.17354,0.916
"joaquín",231,344602,7.67920,17.58794,0.916
"sl",134,275639,4.45460,14.06818,0.916
"tonto",183,310564,6.08353,15.85069,0.916
"constancia",273,374667,9.07542,19.12241,0.916
"lima",599,606801,19.91274,30.97015,0.916
"acogida",105,255390,3.49055,13.03470,0.916
"apto",223,339528,7.41326,17.32897,0.915
"creatividad",399,464801,13.26408,23.72270,0.915
"invitar",2213,1755727,73.56744,89.60950,0.915
"césar",348,428740,11.56867,21.88220,0.915
"palma",438,492915,14.56057,25.15759,0.915
"consistente",218,336521,7.24704,17.17550,0.915
"matemática",163,297453,5.41866,15.18153,0.915
"río",3458,2642958,114.95536,134.89236,0.915
"pelea",432,489787,14.36111,24.99795,0.915
"enfatizar",214,334674,7.11407,17.08123,0.915
"kilómetro",1604,1324424,53.32227,67.59649,0.915
"rector",374,448726,12.43300,22.90226,0.915
"tesoro",254,363312,8.44380,18.54286,0.915
"extraer",618,622949,20.54436,31.79432,0.915
"pulgada",174,306772,5.78434,15.65715,0.915
"moderno",2116,1689916,70.34284,86.25062,0.915
"volante",247,358895,8.21110,18.31743,0.915
"nicolás",485,528924,16.12300,26.99544,0.914
"nombramiento",176,308854,5.85082,15.76342,0.914
"cargar",1331,1131907,44.24685,57.77073,0.914
"física",116,266446,3.85622,13.59898,0.914
"elemento",4931,3697343,163.92276,188.70648,0.914
"sostenibilidad",188,318210,6.24974,16.24093,0.914
"despido",380,455052,12.63246,23.22513,0.914
"recibir",10181,7439484,338.45016,379.69940,0.914
"expresamente",151,292516,5.01974,14.92955,0.914
"nativo",294,394581,9.77353,20.13878,0.914
"octavo",258,369092,8.57677,18.83787,0.914
"dominicano",425,488201,14.12841,24.91700,0.914
"húmedo",135,281692,4.48785,14.37711,0.914
"reforzar",944,858628,31.38169,43.82301,0.913
"pauta",221,343121,7.34677,17.51235,0.913
"ponencia",174,309651,5.78434,15.80409,0.913
"curar",319,413108,10.60462,21.08437,0.913
"genérico",123,273523,4.08893,13.96018,0.913
"testimonio",701,685776,23.30356,35.00091,0.913
"laguna",368,448326,12.23354,22.88184,0.913
"magistrado",358,441204,11.90110,22.51835,0.913
"on",436,496975,14.49408,25.36481,0.913
"creencia",461,515013,15.32517,26.28544,0.913
"pescado",295,396774,9.80678,20.25071,0.913
"concretamente",381,458195,12.66570,23.38554,0.913
"apretar",282,387928,9.37461,19.79923,0.913
"frecuentemente",113,267481,3.75649,13.65180,0.913
"montaje",369,450657,12.26678,23.00081,0.913
"truco",199,329450,6.61542,16.81460,0.913
"inesperado",113,268238,3.75649,13.69044,0.913
"prohibición",223,347003,7.41326,17.71048,0.913
"notable",543,575486,18.05112,29.37189,0.912
"reír",445,505539,14.79327,25.80190,0.912
"sonoro",456,513619,15.15895,26.21429,0.912
"paralelo",489,537584,16.25598,27.43743,0.912
"california",502,546940,16.68814,27.91494,0.912
"limpiar",605,620771,20.11220,31.68316,0.912
"llamada",1093,970144,36.33494,49.51460,0.912
"delicado",270,382513,8.97569,19.52285,0.912
"contenedor",119,274927,3.95595,14.03183,0.912
"caída",1086,966040,36.10223,49.30514,0.912
"entrevistar",270,383016,8.97569,19.54853,0.912
"noción",177,316805,5.88407,16.16922,0.911
"fragmento",167,309922,5.55163,15.81792,0.911
"práctico",1396,1188919,46.40766,60.68053,0.911
"trayecto",136,288300,4.52109,14.71437,0.911
"monte",548,582993,18.21733,29.75503,0.911
"obtención",204,337165,6.78164,17.20836,0.911
"donación",276,389006,9.17515,19.85425,0.911
"promedio",1120,992651,37.23251,50.66332,0.911
"egresar",172,315000,5.71785,16.07710,0.911
"anónimo",243,366281,8.07812,18.69440,0.911
"conceptual",129,284764,4.28839,14.53390,0.911
"récord",272,387147,9.04218,19.75937,0.911
"rubro",239,363825,7.94515,18.56905,0.910
"presidir",493,545965,16.38895,27.86518,0.910
"asignar",946,870579,31.44817,44.43296,0.910
"decidir",6091,4553395,202.48500,232.39803,0.910
"agustín",220,351238,7.31353,17.92663,0.910
"quejar",341,437939,11.33597,22.35171,0.910
"prima",103,267699,3.42406,13.66293,0.910
"océano",177,320723,5.88407,16.36919,0.910
"pico",324,425973,10.77083,21.74098,0.910
"incidente",393,475409,13.06462,24.26412,0.910
"ve",138,293011,4.58758,14.95481,0.910
"diversión",134,290271,4.45460,14.81497,0.910
"distinto",7092,5272068,235.76155,269.07794,0.910
"avisar",450,517088,14.95949,26.39135,0.910
"fe",1969,1605197,65.45608,81.92669,0.909
"península",180,324062,5.98380,16.53961,0.909
"igualar",124,284059,4.12217,14.49792,0.909
"estadístico",192,332916,6.38272,16.99150,0.909
"restaurar",171,317906,5.68461,16.22541,0.909
"puntual",205,342334,6.81488,17.47218,0.909
"medalla",417,494434,13.86246,25.23512,0.909
"caber",1881,1543575,62.53067,78.78161,0.909
"billete",196,337651,6.51569,17.23317,0.909
"en",674883,484022337,22435.34375,24703.72852,0.909
"complejidad",297,410636,9.87326,20.95821,0.908
"centros",109,275980,3.62352,14.08558,0.908
"oscar",415,495415,13.79597,25.28519,0.908
"refugio",191,334925,6.34947,17.09404,0.908
"emocionar",143,300781,4.75379,15.35138,0.908
"inglaterra",483,544731,16.05652,27.80220,0.908
"característico",194,337641,6.44920,17.23266,0.908
"singular",264,388769,8.77623,19.84215,0.908
"senado",456,526569,15.15895,26.87524,0.908
"tomás",222,358814,7.38001,18.31329,0.908
"dotar",650,666185,21.60815,34.00102,0.908
"exceder",106,275879,3.52379,14.08042,0.907
"pronóstico",101,272305,3.35757,13.89801,0.907
"secreto",1235,1086323,41.05549,55.44419,0.907
"prohibir",993,912691,33.01061,46.58229,0.907
"personalmente",414,497389,13.76273,25.38594,0.907
"recibo",105,275794,3.49055,14.07609,0.907
"cancelar",323,432437,10.73759,22.07089,0.907
"abonar",280,401914,9.30813,20.51305,0.907
"presunto",449,523321,14.92625,26.70947,0.907
"prestigioso",193,339830,6.41596,17.34438,0.907
"mixto",302,418718,10.03948,21.37070,0.907
"ayer",3021,2372134,100.42804,121.06993,0.907
"medina",207,350667,6.88137,17.89749,0.907
"casino",136,299949,4.52109,15.30892,0.906
"significado",632,656455,21.00977,33.50441,0.906
"pablar",307,423059,10.20570,21.59226,0.906
"bahía",204,349719,6.78164,17.84910,0.906
"impuesto",1914,1579030,63.62770,80.59117,0.906
"silva",173,327604,5.75109,16.72039,0.906
"compensación",148,310144,4.92001,15.82926,0.906
"distinción",246,380821,8.17785,19.43650,0.906
"hacienda",732,730493,24.33410,37.28320,0.906
"muñoz",217,360346,7.21380,18.39149,0.906
"aludir",260,391277,8.64326,19.97015,0.906
"recoger",2375,1912843,78.95287,97.62846,0.906
"conversión",131,298774,4.35487,15.24895,0.905
"egipto",147,310630,4.88677,15.85406,0.905
"resumir",485,553884,16.12300,28.26936,0.905
"afición",107,282045,3.55703,14.39513,0.905
"víctor",363,466310,12.06732,23.79972,0.905
"papa",922,868682,30.65033,44.33614,0.905
"extremadamente",106,281560,3.52379,14.37037,0.905
"licenciar",141,306795,4.68731,15.65833,0.905
"demonio",150,313288,4.98650,15.98972,0.905
"provenir",599,636398,19.91274,32.48074,0.905
"irregularidad",135,302657,4.48785,15.44713,0.905
"fachada",245,381951,8.14461,19.49417,0.905
"origen",3180,2494435,105.71373,127.31197,0.905
"retirar",1548,1319862,51.46064,67.36365,0.905
"fantasía",163,323178,5.41866,16.49449,0.905
"periodismo",283,409642,9.40786,20.90747,0.905
"boletín",179,335059,5.95055,17.10088,0.905
"maquinar",157,319602,5.21920,16.31198,0.905
"molina",135,303837,4.48785,15.50735,0.905
"frío",1478,1271925,49.13361,64.91702,0.904
"proyección",474,549127,15.75733,28.02657,0.904
"pasaje",265,398673,8.80948,20.34763,0.904
"labor",1997,1646928,66.38689,84.05657,0.904
"lujo",617,652660,20.51112,33.31072,0.904
"paraguay",256,392795,8.51029,20.04763,0.904
"pesado",327,443957,10.87056,22.65886,0.904
"gala",164,326604,5.45190,16.66935,0.904
"permanecer",1675,1416067,55.68255,72.27380,0.904
"invitado",577,624902,19.18139,31.89400,0.904
"incentivo",105,284719,3.49055,14.53160,0.904
"apellido",252,390756,8.37731,19.94356,0.904
"visible",436,523394,14.49408,26.71319,0.904
"cobro",198,352001,6.58218,17.96557,0.904
"amable",197,351343,6.54893,17.93199,0.903
"cable",712,723642,23.66924,36.93353,0.903
"instar",124,299780,4.12217,15.30029,0.903
"parcial",727,734858,24.16789,37.50598,0.903
"búsqueda",2110,1732663,70.14339,88.43236,0.903
"disminución",368,476099,12.23354,24.29933,0.903
"alimento",2616,2097974,86.96450,107.07724,0.903
"cartel",416,511266,13.82922,26.09420,0.903
"junto",8269,6177909,274.88895,315.31061,0.903
"verso",117,295785,3.88947,15.09639,0.903
"novedoso",179,340539,5.95055,17.38057,0.903
"participar",6177,4669461,205.34393,238.32184,0.903
"equilibrio",660,687943,21.94058,35.11151,0.903
"pilar",599,643941,19.91274,32.86572,0.903
"materno",158,325797,5.25244,16.62816,0.902
"ala",339,456493,11.26948,23.29868,0.902
"liderazgo",473,553281,15.72409,28.23858,0.902
"ingresar",1614,1376839,53.65470,70.27167,0.902
"depositar",364,474766,12.10056,24.23130,0.902
"llorar",541,602795,17.98463,30.76570,0.902
"nariz",172,336480,5.71785,17.17340,0.902
"árbol",1172,1058638,38.96116,54.03119,0.902
"ratón",102,286225,3.39082,14.60847,0.902
"enfermería",139,312955,4.62082,15.97272,0.902
"fumar",187,347908,6.21650,17.75667,0.902
"recorte",251,394250,8.34407,20.12189,0.902
"macho",105,289051,3.49055,14.75270,0.902
"excepto",300,429959,9.97299,21.94442,0.902
"dudar",1108,1014244,36.83359,51.76540,0.902
"linear",210,365545,6.98110,18.65683,0.902
"razonable",286,420456,9.50759,21.45940,0.902
"adopción",200,358561,6.64866,18.30038,0.902
"activar",746,753204,24.79951,38.44233,0.901
"idéntico",114,296621,3.78974,15.13906,0.901
"ajuste",672,699929,22.33950,35.72326,0.901
"emblemático",102,288174,3.39082,14.70794,0.901
"arreglo",228,379742,7.57947,19.38143,0.901
"pasillo",111,295226,3.69001,15.06786,0.901
"contraste",235,385131,7.81218,19.65647,0.901
"si",58491,42499132,1944.43445,2169.08789,0.901
"eficiencia",740,750394,24.60005,38.29891,0.901
"donar",183,347959,6.08353,17.75927,0.901
"aprobación",664,696190,22.07356,35.53242,0.901
"suárez",141,318335,4.68731,16.24731,0.901
"cálido",124,306243,4.12217,15.63015,0.900
"fiscalía",525,596671,17.45274,30.45314,0.900
"devolución",127,308994,4.22190,15.77056,0.900
"inicialmente",314,444483,10.43840,22.68570,0.900
"complementar",404,509667,13.43030,26.01259,0.900
"liquidación",226,381071,7.51299,19.44925,0.900
"respirar",224,380036,7.44650,19.39643,0.900
"rápidamente",918,882656,30.51736,45.04935,0.900
"grecia",225,381198,7.47974,19.45574,0.900
"común",4081,3173189,135.66595,161.95450,0.900
"cueva",114,301146,3.78974,15.37001,0.900
"precepto",187,354026,6.21650,18.06892,0.900
"ángulo",137,318070,4.55433,16.23379,0.900
"asignación",162,336355,5.38542,17.16702,0.899
"aumento",2173,1794215,72.23771,91.57387,0.899
"extremo",1637,1406088,54.41930,71.76449,0.899
"álvarez",257,406486,8.54353,20.74640,0.899
"líder",2756,2217521,91.61856,113.17873,0.899
"proteger",2710,2184329,90.08938,111.48466,0.899
"comprador",275,419896,9.14191,21.43082,0.899
"remoto",203,367774,6.74839,18.77060,0.899
"alarma",148,328013,4.92001,16.74126,0.899
"involucrar",1069,996149,35.53710,50.84185,0.899
"corporación",591,649821,19.64680,33.16583,0.898
"higiene",132,317218,4.38812,16.19030,0.898
"roberto",515,594959,17.12030,30.36576,0.898
"aula",605,660326,20.11220,33.70198,0.898
"expansión",555,624362,18.45004,31.86644,0.898
"veterinario",110,302072,3.65676,15.41727,0.898
"lobo",168,344232,5.58488,17.56905,0.898
"planificación",625,675720,20.77707,34.48767,0.898
"premiar",283,427873,9.40786,21.83796,0.898
"analizar",3305,2619856,109.86914,133.71327,0.898
"restante",256,408305,8.51029,20.83924,0.898
"recientemente",1040,977114,34.57304,49.87034,0.898
"morar",106,299629,3.52379,15.29259,0.898
"íntimo",163,341238,5.41866,17.41624,0.898
"ecosistema",162,340643,5.38542,17.38587,0.898
"giro",346,474159,11.50219,24.20032,0.898
